condition_id,paper_id,scientific_model,temperature,repeat,factor_id,factor,context,score,is_explicit_null,source,original_parse_status,completion_tokens,extractor_version
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,26,Hierarchical Mechanism Invariance,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,4,Habituation to Sequence,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,6,Activity Suppression,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,6,Activity Suppression,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,1,Subtractive Inhibition (SST),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,1,Subtractive Inhibition (SST),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,5,Synaptic Depression (Adaptation),LO,0.5,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,34,Hierarchical Order Stability,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,12,Omission Response,LO,0.8,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,12,Omission Response,GO,0.8,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,13,Feedforward Deviance Detection,LO,0.8,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,13,Feedforward Deviance Detection,GO,0.8,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,15,Feedforward NMDA,LO,0.2,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,15,Feedforward NMDA,GO,0.2,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,31,Cross-Modal Ubiquity,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,31,Cross-Modal Ubiquity,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,4,Habituation to Sequence,LO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,6,Activity Suppression,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,6,Activity Suppression,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,2,Divisive Inhibition (PV),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R02,Attinger2017,olmo-3-32b-think,0.35,2,2,Divisive Inhibition (PV),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,1,Subtractive Inhibition (SST),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,1,Subtractive Inhibition (SST),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,4,Habituation to Sequence,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,6,Activity Suppression,LO,0.5,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,6,Activity Suppression,GO,0.5,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,13,Feedforward Deviance Detection,LO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,13,Feedforward Deviance Detection,GO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,17,Absence of Feedback Error,LO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,17,Absence of Feedback Error,GO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,4,Habituation to Sequence,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,34,Hierarchical Order Stability,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R03,Attinger2017,olmo-3-32b-think,0.35,3,34,Hierarchical Order Stability,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,36,State-Independent Ubiquity,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,36,State-Independent Ubiquity,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,4,Habituation to Sequence,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,5,Synaptic Depression (Adaptation),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,7,Selective Sharpening,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,7,Selective Sharpening,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,8,Alpha/Beta Mediated Suppression,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,8,Alpha/Beta Mediated Suppression,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,10,Precision Weighting (Gain),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,10,Precision Weighting (Gain),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,12,Omission Response,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,12,Omission Response,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__phi-4-reasoning-plus__T035__R02,Attinger2017,phi-4-reasoning-plus,0.35,2,4,Habituation to Sequence,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,32,Interspecies Hierarchical Ubiquity,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,32,Interspecies Hierarchical Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,4,Habituation to Sequence,LO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,4,Habituation to Sequence,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,1,Subtractive Inhibition (SST),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,1,Subtractive Inhibition (SST),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,8,Alpha/Beta Mediated Suppression,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,8,Alpha/Beta Mediated Suppression,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,18,Feedforward Non-local Supragranular Activity (L2/3),LO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,18,Feedforward Non-local Supragranular Activity (L2/3),GO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,27,Hierarchical Activity Ubiquity,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R01,Bakhtiari2021,olmo-3-32b-think,0.35,1,27,Hierarchical Activity Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,32,Interspecies Hierarchical Ubiquity,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,32,Interspecies Hierarchical Ubiquity,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,4,Habituation to Sequence,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,4,Habituation to Sequence,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,5,Synaptic Depression (Adaptation),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,5,Synaptic Depression (Adaptation),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,6,Activity Suppression,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,6,Activity Suppression,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,7,Selective Sharpening,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,7,Selective Sharpening,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,10,Precision Weighting (Gain),LO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,10,Precision Weighting (Gain),GO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,11,E/I Balance Shift,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,11,E/I Balance Shift,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,16,Feedforward Ascending Gamma,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,16,Feedforward Ascending Gamma,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,21,Feedforward Non-local Activation,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,21,Feedforward Non-local Activation,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,22,Ascending Latency Shift,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,22,Ascending Latency Shift,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,28,Hierarchical CSD Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,30,Hierarchical Presence (V1-PFC),LO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,30,Hierarchical Presence (V1-PFC),GO,0.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,31,Cross-Modal Ubiquity,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,36,State-Independent Ubiquity,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R02,Bakhtiari2021,olmo-3-32b-think,0.35,2,36,State-Independent Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,4,Habituation to Sequence,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,4,Habituation to Sequence,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,3,Inhibition (GABA),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,3,Inhibition (GABA),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,30,Hierarchical Presence (V1-PFC),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,30,Hierarchical Presence (V1-PFC),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,12,Omission Response,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__olmo-3-32b-think__T035__R03,Bakhtiari2021,olmo-3-32b-think,0.35,3,12,Omission Response,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R02,Bakhtiari2021,phi-4-reasoning-plus,0.7,2,3,Inhibition (GABA),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R02,Bakhtiari2021,phi-4-reasoning-plus,0.7,2,36,State-Independent Ubiquity,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R02,Bakhtiari2021,phi-4-reasoning-plus,0.7,2,36,State-Independent Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R03,Bakhtiari2021,phi-4-reasoning-plus,0.7,3,3,Inhibition (GABA),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R03,Bakhtiari2021,phi-4-reasoning-plus,0.7,3,3,Inhibition (GABA),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R03,Bakhtiari2021,phi-4-reasoning-plus,0.7,3,27,Hierarchical Activity Ubiquity,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bakhtiari2021__phi-4-reasoning-plus__T070__R03,Bakhtiari2021,phi-4-reasoning-plus,0.7,3,27,Hierarchical Activity Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,16,Feedforward Ascending Gamma,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,34,Hierarchical Order Stability,LO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,34,Hierarchical Order Stability,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,5,Synaptic Depression (Adaptation),LO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,36,State-Independent Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,5,Synaptic Depression (Adaptation),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,1,Subtractive Inhibition (SST),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,1,Subtractive Inhibition (SST),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,2,Divisive Inhibition (PV),LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,2,Divisive Inhibition (PV),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,4,Habituation to Sequence,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,31,Cross-Modal Ubiquity,LO,0.2,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,31,Cross-Modal Ubiquity,GO,0.2,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,36,State-Independent Ubiquity,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Bastos2012__olmo-3-32b-think__T000__R02,Bastos2012,olmo-3-32b-think,0.0,2,3,Inhibition (GABA),LO,0.6,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
