call_id,paper_id,condition,repeat,scientific_model,served_model_id,temperature,top_p,min_p,input_file,input_sha256,latency_seconds,parse_status,parser_method,status,raw_file,timestamp
NOFIG__Keller2012__gemma-4-31b-it__T000__R01,Keller2012,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Keller2012__NO_FIGURE.md,06739281c666d8bbf30427027d35a49e3002e7240355f3b6f981ba03431256fb,346.32662892341614,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Keller2012__gemma-4-31b-it__T000__R01.json,2026-08-26T19:18:31.622700+00:00
NOFIG__Keller2018__gemma-4-31b-it__T000__R01,Keller2018,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Keller2018__NO_FIGURE.md,5372ab03495fae3f7562479b48437e545420c21d1f780bba7bf9faddc9a073fa,353.6417739391327,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Keller2018__gemma-4-31b-it__T000__R01.json,2026-08-26T19:24:25.273829+00:00
NOFIG__Kiebel2008__gemma-4-31b-it__T000__R01,Kiebel2008,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Kiebel2008__NO_FIGURE.md,b3a0b0f39b01c1d132acb608258071843376660d2230d73d8790e0305b18845c,379.29542994499207,recovered,extracted_json_block,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Kiebel2008__gemma-4-31b-it__T000__R01.json,2026-08-26T19:30:44.584020+00:00
NOFIG__LaoRodriguez2023__gemma-4-31b-it__T000__R01,LaoRodriguez2023,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/LaoRodriguez2023__NO_FIGURE.md,dee17890a6f1fd8ffe97bad9f8506cb03a990942c470c934f2b157913a1c7bbc,642.2539458274841,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__LaoRodriguez2023__gemma-4-31b-it__T000__R01.json,2026-08-26T19:41:26.850076+00:00
NOFIG__LeeMejias2025__gemma-4-31b-it__T000__R01,LeeMejias2025,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/LeeMejias2025__NO_FIGURE.md,87f32609edf1ef35bcfccc3641b266f2498aafa6d707d41f765804a8bdf9b3ad,520.4428880214691,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__LeeMejias2025__gemma-4-31b-it__T000__R01.json,2026-08-26T19:50:07.305059+00:00
NOFIG__Mikulasch2023__gemma-4-31b-it__T000__R01,Mikulasch2023,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Mikulasch2023__NO_FIGURE.md,bb2c3c05d22926c74e843cd9ac3a4053e0af064915acee0ba8643e1d235c8ab5,323.2572820186615,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Mikulasch2023__gemma-4-31b-it__T000__R01.json,2026-08-26T19:55:30.577345+00:00
NOFIG__Nejad2025__gemma-4-31b-it__T000__R01,Nejad2025,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Nejad2025__NO_FIGURE.md,2839b00a737b1043ed987b177eebce9a42a15bf624cd9a95d91d124a1c4e70b3,660.5599002838135,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Nejad2025__gemma-4-31b-it__T000__R01.json,2026-08-26T20:06:31.151140+00:00
NOFIG__Payeur2021__gemma-4-31b-it__T000__R01,Payeur2021,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Payeur2021__NO_FIGURE.md,97c6660e290ae740c189a859583aae6e6a9f7845908a8c6a91c0444897acfd25,690.0793180465698,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Payeur2021__gemma-4-31b-it__T000__R01.json,2026-08-26T20:18:01.241555+00:00
NOFIG__Rao&Ballard1999__gemma-4-31b-it__T000__R01,Rao&Ballard1999,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Rao&Ballard1999__NO_FIGURE.md,8699f3538566023e8d944979e009448b64e66fe14d47d8153d03f77d664378bf,431.12226390838623,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Rao&Ballard1999__gemma-4-31b-it__T000__R01.json,2026-08-26T20:25:12.380988+00:00
NOFIG__Rao2024__gemma-4-31b-it__T000__R01,Rao2024,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Rao2024__NO_FIGURE.md,78e28bc7319108b57fd21bdedb72560f6d8d4cd1600a74ba896952370f66f485,634.6648921966553,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Rao2024__gemma-4-31b-it__T000__R01.json,2026-08-26T22:35:33.621542+00:00
NOFIG__Sacramento2018__gemma-4-31b-it__T000__R01,Sacramento2018,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Sacramento2018__NO_FIGURE.md,b91fc0f13ef71047dc59c485c70b21ecc8406c3daa25a37bb5d35d16d36281ab,265.85104513168335,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Sacramento2018__gemma-4-31b-it__T000__R01.json,2026-08-26T22:39:59.496991+00:00
NOFIG__Spratling2008__gemma-4-31b-it__T000__R01,Spratling2008,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Spratling2008__NO_FIGURE.md,dbd8ce320bd8963bf98380894ed49eaa09e553a46e9333ceec86201a8793ba79,736.9256660938263,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Spratling2008__gemma-4-31b-it__T000__R01.json,2026-08-26T23:01:58.633854+00:00
NOFIG__Spratling2010__gemma-4-31b-it__T000__R01,Spratling2010,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Spratling2010__NO_FIGURE.md,89009e956273b8fc22404ee95b9ebd168489f08324d462916ab084f8e51a582c,1127.9106080532074,valid,cleaned_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Spratling2010__gemma-4-31b-it__T000__R01.json,2026-08-26T23:20:46.583435+00:00
NOFIG__Srinivasan1982__gemma-4-31b-it__T000__R01,Srinivasan1982,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Srinivasan1982__NO_FIGURE.md,156e40f958cb62a41fa9141831a392c4f72e07c60daa232f197e1540c64a1b76,573.2700099945068,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Srinivasan1982__gemma-4-31b-it__T000__R01.json,2026-08-26T23:30:20.006618+00:00
NOFIG__VanDerveer2021__gemma-4-31b-it__T000__R01,VanDerveer2021,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/VanDerveer2021__NO_FIGURE.md,d5d3a4133bfb582266f00a63bf55ae2365e7a3abd2124b4c531a00e18ff575ed,444.37787222862244,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__VanDerveer2021__gemma-4-31b-it__T000__R01.json,2026-08-26T23:37:44.566618+00:00
NOFIG__Wacongne2011__gemma-4-31b-it__T000__R01,Wacongne2011,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Wacongne2011__NO_FIGURE.md,38d2f116d293d8dccf5ae4afa726e9af8a5d5f55a5b30f12d4b0f2202086c317,431.8931121826172,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Wacongne2011__gemma-4-31b-it__T000__R01.json,2026-08-26T23:44:56.658328+00:00
NOFIG__Wacongne2012__gemma-4-31b-it__T000__R01,Wacongne2012,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Wacongne2012__NO_FIGURE.md,42ede3907161405c3d831cebce29abdb01711a25766e3190612303503c08a15e,943.1412260532379,valid,cleaned_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Wacongne2012__gemma-4-31b-it__T000__R01.json,2026-08-27T00:00:40.042189+00:00
NOFIG__Westerberg&Xiong2025__gemma-4-31b-it__T000__R01,Westerberg&Xiong2025,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Westerberg&Xiong2025__NO_FIGURE.md,76eec89a5c5cb025d4ed4a581ac181c8cc18632b035711d4abe3c157bc336b9f,461.3456480503082,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Westerberg&Xiong2025__gemma-4-31b-it__T000__R01.json,2026-08-27T00:08:21.870013+00:00
NOFIG__Yamins2014__gemma-4-31b-it__T000__R01,Yamins2014,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Yamins2014__NO_FIGURE.md,8802a6df9761ac01abc967dc55a6356231ec7e5a778d4e406bd2cd1a9b691da6,421.2224509716034,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Yamins2014__gemma-4-31b-it__T000__R01.json,2026-08-27T00:15:23.371947+00:00
