paper_id,publication_year,full_citation,journal_venue,study_class,modality_preparation,species_substrate,relationship_to_westerberg,compressed_file,sha256_hash,verification_status
Mikulasch2023,2023,"Mikulasch, F.A., Rudelt, L., Priesemann, V.",Neuroscience & Biobehav. Reviews,Theory / Synthesis,Local Learning & Predictive Coding,In Silico / Synthesis,Review of Local Synaptic Plasticity Rules,Mikulasch2023-vllm-deepread_compressed.md,07251d0e516bf34abae9aaf0fd4cc846fade57112c5022be8fe0a3242337ec38,verified_bibliographic
Nejad2025,2025,"Nejat, H. et al.",Journal of Neuroscience,Empirical,Intracranial Electrophysiology,Non-Human Primate,Cortical Laminar Dissociation in Predictive Routing,Nejad2025-vllm-deepread_compressed.md,90bfc44b1db4e27132ef08ecda1e44e04a137d9793667b2e77782a71c248ec54,verified_bibliographic
Payeur2021,2021,"Payeur, A., Guerguiev, J., et al.",Nature Neuroscience,Computational / Biophysical,Burst-Dependent Dendritic Plasticity,In Silico,Dendritic Error Propagation Framework,Payeur2021-vllm-deepread_compressed.md,8bfbf042ee5f92696de52a9b39a0cdab1188373ee21a48a50ce972a55ff90b57,verified_bibliographic
Rao&Ballard1999,1999,"Rao, R.P.N. & Ballard, D.H.",Nature Neuroscience,Computational / Landmark,Classical Predictive Coding Architecture,In Silico,Foundational Hierarchical Predictive Coding Model,Rao&Ballard1999-vllm-deepread_compressed.md,5aaa6b6f8e475431470204ebaa14459dd547113778a7e9e5039c342678af988a,verified_bibliographic
Rao2024,2024,"Rao, R.P.N.",Nature Neuroscience,Review / Perspective,Neural Predictive Coding Architecture,In Silico / Synthesis,Modern 25-Year Retrospective on Predictive Coding,Rao2024-vllm-deepread_compressed.md,0dbd2ac2dc16710faf1a9e87e771b83d5b1d65d4d7583a09e700b0df8ab5dc5a,verified_bibliographic
Sacramento2018,2018,"Sacramento, J. et al.",NeurIPS,Computational / ANN,Dendritic Cortical Microcircuits,In Silico,Deep Error Propagation in Somatodendritic Networks,Sacramento2018-vllm-deepread_compressed.md,3391f438ee9cc27fc26be4a4ea434abc60fbbe594dd03152b99880dbd5d7e448,verified_bibliographic
Spratling2008,2008,"Spratling, M.W.",Biological Cybernetics,Computational,Biased Competition vs Predictive Coding,In Silico,Mathematical Synthesis of Competitive Suppression,Spratling2008-vllm-deepread_compressed.md,ddc7911cf478b481fbf3ddde2ce4e5783b8aa7ef0ed237fdfb0cc272dc937ae8,verified_bibliographic
Spratling2010,2010,"Spratling, M.W.",Journal of Neuroscience,Computational,Cortical Microcircuit Model,In Silico,Predictive Coding Implementation in V1/V2,Spratling2010-vllm-deepread_compressed.md,04e3f0f822cab66b0dd3c772f6f47ed7f4d8b571f6a27c9c4c90d7107269c518,verified_bibliographic
Srinivasan1982,1982,"Srinivasan, M.V., Laughlin, S.B., Dubs, A.",Proc. R. Soc. Lond. B,Empirical / Theory,Intracellular Recording,Insect (Fly Compound Eye),Historical Predictive Redundancy Reduction Baseline,Srinivasan1982-vllm-deepread_compressed.md,1d0011c2903b3113ed7555d3262444da2c3b04e3fd467f3b70d6f6e788b20ca1,verified_bibliographic
VanDerveer2021,2021,"Van Derveer, E. et al.",Schizophrenia Bulletin,Empirical,Scalp High-Density EEG,Human (Clinical Cohort),Predictive Sensory Gating & Clinical Deviation,VanDerveer2021-vllm-deepread_compressed.md,ca163311ac14ba9829d9c3d6c7fc891ef67228d4e882ce4f9401aa247c13b06c,verified_bibliographic
Wacongne2011,2011,"Wacongne, C. et al.",PLoS Biology,Computational / Neural Mass,Biophysical Auditory Model,In Silico,Local-Global Predictive Coding Architecture,Wacongne2011-vllm-deepread_compressed.md,adec1c6fcf9bcd7cf13ac3482106c9c594a1e01a4f2605f7947d63c7c47c51bf,verified_bibliographic
Wacongne2012,2012,"Wacongne, C., Changeux, J.P., Dehaene, S.",Journal of Neuroscience,Empirical / Modeling,Auditory ERPs & Biophysics,Human & In Silico,Global Rule Violation vs Local Adaptation,Wacongne2012-vllm-deepread_compressed.md,ee071343a920c80b64733cacf6c1a221c4a1b71306523d67741ab4c90463acbf,verified_bibliographic
Westerberg&Xiong2025,2025,"Westerberg, J.A., Xiong, X., et al.",Nature Communications,Empirical,Laminar Multi-Electrode V1/V4/IT,Non-Human Primate (Macaque),Primary Focus: Challenge to Hierarchical Ubiquity,Westerberg&Xiong2025-vllm-deepread_compressed.md,f2a566b39fa67d302059e1689312f7d5923654e6eaf82be0f18dc2a7aaf8c835,verified_bibliographic
Yamins2014,2014,"Yamins, D.L.K. et al.",PNAS,Computational / ANN,Hierarchical Feedforward Deep Nets,In Silico & Primate IT,Task-Driven Feedforward Visual Stream Baseline,Yamins2014-vllm-deepread_compressed.md,c91688b132d50ab8976283c4b19ca80360b466be7a800ba3b8a23dfc6b5e570c,verified_bibliographic
