paper_id,full_source_path,nofigure_input_path,full_input_sha256,nofigure_input_sha256,full_characters,nofigure_characters,characters_removed,figure_blocks_removed,captions_preserved,ordinary_prose_preserved,baseline_model,baseline_temperature,baseline_repeat,baseline_score_record
Mikulasch2023,content/markdowns/Mikulasch2023-vllm-deepread.md,content/202608_temp/nofigure_inputs/Mikulasch2023__NO_FIGURE.md,1f8295f3c1ca97570356c646bfad6eba2b60606b71b48cce4095131c64c65d5e,bb2c3c05d22926c74e843cd9ac3a4053e0af064915acee0ba8643e1d235c8ab5,67457,66194,1263,8,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Nejad2025,content/markdowns/Nejad2025-vllm-deepread.md,content/202608_temp/nofigure_inputs/Nejad2025__NO_FIGURE.md,6ac4a71f342ea93a754344f6f6f8d1429241e6465440b21f711c842703924fb2,2839b00a737b1043ed987b177eebce9a42a15bf624cd9a95d91d124a1c4e70b3,141629,138342,3287,17,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Payeur2021,content/markdowns/Payeur2021-vllm-deepread.md,content/202608_temp/nofigure_inputs/Payeur2021__NO_FIGURE.md,c808ab771aa7fb72a420944c433c00d97fb1ad88349bc8d6ee5de49d7a9f1eda,97c6660e290ae740c189a859583aae6e6a9f7845908a8c6a91c0444897acfd25,159369,154036,5333,26,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Rao&Ballard1999,content/markdowns/Rao&Ballard1999-vllm-deepread.md,content/202608_temp/nofigure_inputs/Rao&Ballard1999__NO_FIGURE.md,13c6b26d839379e23b8d4c0ed423846cbd0bf7e95cbfd6281b7ba561992b8ef1,8699f3538566023e8d944979e009448b64e66fe14d47d8153d03f77d664378bf,83854,82514,1340,11,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Rao2024,content/markdowns/Rao2024-vllm-deepread.md,content/202608_temp/nofigure_inputs/Rao2024__NO_FIGURE.md,5b58d4882023d6818737d984be2d34df43bbb62725d269b0d263880b1aafb828,78e28bc7319108b57fd21bdedb72560f6d8d4cd1600a74ba896952370f66f485,131962,129423,2539,15,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Sacramento2018,content/markdowns/Sacramento2018-vllm-deepread.md,content/202608_temp/nofigure_inputs/Sacramento2018__NO_FIGURE.md,c688bfab18cd625e0b8043233d8ab8b87f6fa5a56409de90f8d0af7210c0e26f,b91fc0f13ef71047dc59c485c70b21ecc8406c3daa25a37bb5d35d16d36281ab,45424,45153,271,2,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Spratling2008,content/markdowns/Spratling2008-vllm-deepread.md,content/202608_temp/nofigure_inputs/Spratling2008__NO_FIGURE.md,3af5e55007108ef08bfabdec356cfc3af64f9dd1a4434077348b41c53f5202be,dbd8ce320bd8963bf98380894ed49eaa09e553a46e9333ceec86201a8793ba79,158455,156322,2133,15,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Spratling2010,content/markdowns/Spratling2010-vllm-deepread.md,content/202608_temp/nofigure_inputs/Spratling2010__NO_FIGURE.md,eb3fb6d59c6d5b7866e73ed31d2311eea3cb5107641a1a1f84f69f8078ef47c2,89009e956273b8fc22404ee95b9ebd168489f08324d462916ab084f8e51a582c,202765,195755,7010,39,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Srinivasan1982,content/markdowns/Srinivasan1982-vllm-deepread.md,content/202608_temp/nofigure_inputs/Srinivasan1982__NO_FIGURE.md,a8edd7cc7c09cfc47bfcab3e7bb3703c1473a06b1667849045198033ef7d5901,156e40f958cb62a41fa9141831a392c4f72e07c60daa232f197e1540c64a1b76,94650,94199,451,2,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
VanDerveer2021,content/markdowns/VanDerveer2021-vllm-deepread.md,content/202608_temp/nofigure_inputs/VanDerveer2021__NO_FIGURE.md,0d82c719b93a7ce82d3c38fa6db452b98b71ec846dc40cada629987b39bc578b,d5d3a4133bfb582266f00a63bf55ae2365e7a3abd2124b4c531a00e18ff575ed,60704,60473,231,3,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Wacongne2011,content/markdowns/Wacongne2011-vllm-deepread.md,content/202608_temp/nofigure_inputs/Wacongne2011__NO_FIGURE.md,918341f0d1a0a067e49bab1afa12da0a274c0a48d69eb04bd7e005911ac470f4,38d2f116d293d8dccf5ae4afa726e9af8a5d5f55a5b30f12d4b0f2202086c317,62117,61513,604,3,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Wacongne2012,content/markdowns/Wacongne2012-vllm-deepread.md,content/202608_temp/nofigure_inputs/Wacongne2012__NO_FIGURE.md,5329b6c91d38ffa0f374496f59d2b885fe0092bc4e4a2765b435768d20226171,42ede3907161405c3d831cebce29abdb01711a25766e3190612303503c08a15e,170630,163672,6958,26,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Westerberg&Xiong2025,content/markdowns/Westerberg&Xiong2025-vllm-deepread.md,content/202608_temp/nofigure_inputs/Westerberg&Xiong2025__NO_FIGURE.md,8cd592d6e9a4927a22bb56173c51998cc308cf671bf274b1f1683f14125afe67,76eec89a5c5cb025d4ed4a581ac181c8cc18632b035711d4abe3c157bc336b9f,59206,58761,445,5,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Yamins2014,content/markdowns/Yamins2014-vllm-deepread.md,content/202608_temp/nofigure_inputs/Yamins2014__NO_FIGURE.md,383fc5e606492d142f76e7c4443543a8fac8bde994e66e878a002b9110537d17,8802a6df9761ac01abc967dc55a6356231ec7e5a778d4e406bd2cd1a9b691da6,66082,65406,676,6,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
