audit_id,study_name,context,factor_code,factor_name,factor_definition,h1_score,h2_score,h12_consensus,council_score,disagreement_type,source_file,source_page,source_section,source_figure_table,evidence_paraphrase,evidence_direction,evidence_strength,human_supported,council_supported,manual_verdict,manual_notes,audit_status,source_location_verified,evidence_type,context_specificity,verification_note
PA-13,Hertag2020,Local Oddball (LO),LO-F02,Divisive Inhibition (PV),Multiplicative gain reduction (Parvalbumin-mediated).,-0.2,-0.2,-0.2,1.0,Opposing Valence (Council sign flip),content/inputs/Hertag2020.pdf,Pages 6-8,Divisive Gain Modulation by Parvalbumin Interneurons,Figure 4 / Figure 5,Model demonstrates PV interneurons implement divisive gain control (slope reduction); gain modulation direction depends on background network conductance state.,AMBIGUOUS,MODERATE,YES,NO,HUMAN_BETTER,"The model implements PV interneurons as delivering additive/subtractive somatic inhibition to balance feedforward drive, rather than performing divisive multiplicative gain reduction. Human consensus (-0.2) correctly recognizes that the specific divisive mechanism is not supported, while council (1.0) improperly assigns full credit merely for PV presence.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Computational proof that PV interneurons mediate divisive gain control under specific network regimes.
PA-14,Hertag2020,Local Oddball (LO),LO-F09,VIP-Mediated Disinhibition,"VIP-mediated inhibition of SST/PV neurons, leading to disinhibited pyramidal activity during prediction error.",1.0,1.0,1.0,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Hertag2020.pdf,Pages 8-10,VIP Interneuron Gating and Disinhibition,Figure 6,"Spiking network simulations show VIP interneuron recruitment inhibits SST/PV cells, disinhibiting pyramidal output to signal prediction errors.",POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Hertag and Sprekeler explicitly model and demonstrate VIP-mediated disinhibitory gating of SOM/PV neurons as essential for mismatch responses. Human consensus (1.0) correctly captures this central modeled mechanism, whereas council (0.2) drastically under-scores it.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Computational validation of VIP disinhibitory circuit motif.
PA-15,Keller2018,Local Oddball (LO),LO-F31,Cross-Modal Ubiquity,"Presence of the mechanism across multiple sensory modalities (visual, auditory, somatosensory) throughout the hierarchy.",0.6,0.8,0.7,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Keller2018.pdf,Pages 4-6 (pp. 426-428),Predictive Processing across Sensory Modalities,Figure 2,"Review synthesizes evidence that predictive suppression mechanisms operate in visual, auditory, and somatosensory cortical systems.",POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"The review comprehensively synthesizes empirical evidence demonstrating predictive suppression across visual, auditory, and somatosensory modalities. Human consensus (0.7) properly reflects this cross-modal review synthesis, which council (0.2) under-scores.",evidence_assembled_ready_for_adjudication,CORRECTED,REVIEW_SYNTHESIS,DIRECT,Broad review summarizing cross-modal evidence for predictive suppression.
PA-16,Keller2018,Global Oddball (GO),GO-F01,Subtractive Inhibition (SST),Linear suppression of input via somatic inhibition (Somatostatin-mediated).,0.6,0.8,0.7,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Keller2018.pdf,Pages 6-8 (pp. 428-430),Circuit Mechanisms: Inhibitory Neuron Types,Figure 3,Reviews empirical literature implicating SST interneurons in mediating subtractive prediction inputs across cortex.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"The review details the microcircuit role of SST interneurons in providing subtractive inhibition to cancel top-down predictions across cortical areas. Human consensus (0.7) reflects this literature synthesis, whereas council under-scores it at 0.2.",evidence_assembled_ready_for_adjudication,CORRECTED,REVIEW_SYNTHESIS,INDIRECT,Review of circuit literature; discusses SST suppression in general predictive contexts.
PA-17,Keller2018,Global Oddball (GO),GO-F25,Canonical Microcircuit Ubiquity,The ubiquitous presence of the L2/3 Error and L5/6 Prediction motif repeating across most or all levels of the cortical hierarchy.,1.0,0.8,0.9,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Keller2018.pdf,Pages 5-7 (pp. 427-429),The Canonical Cortical Circuit for Predictive Processing,Figure 3,Proposes that the L2/3 error and L5/6 prediction microcircuit motif is a canonical computational unit ubiquitous across cortex.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Ubiquity of the canonical microcircuit across the cortical hierarchy is the central thesis of the Keller & Mrsic-Flogel review. Human score (0.9) directly reflects this core review claim, while council (0.2) severely under-scores it.",evidence_assembled_ready_for_adjudication,CORRECTED,REVIEW_SYNTHESIS,GENERAL_ONLY,Core synthesis paper proposing canonical microcircuit ubiquity.
PA-18,Keller2018,Global Oddball (GO),GO-F31,Cross-Modal Ubiquity,"Presence of the mechanism across multiple sensory modalities (visual, auditory, somatosensory) throughout the hierarchy.",0.6,0.8,0.7,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Keller2018.pdf,Pages 8-10 (pp. 430-432),Cross-Modal and Higher-Order Predictive Processing,Figure 4,Reviews evidence that temporal sequence predictions and deviance detection occur across multiple sensory systems and associative cortex.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Keller & Mrsic-Flogel review cross-modal evidence for hierarchical and temporal sequence prediction across associative cortex. Human consensus (0.7) accurately reflects this review scope, whereas council (0.2) under-scores it.",evidence_assembled_ready_for_adjudication,CORRECTED,REVIEW_SYNTHESIS,DIRECT,Literature review on cross-modal sequence processing.
PA-19,Kiebel2008,Local Oddball (LO),LO-F06,Activity Suppression,Reduction in firing rates for expected (predictable) stimuli.,0.6,0.8,0.7,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Kiebel2008.pdf,Pages 3-5,Hierarchical Models in the Brain: Predictive Suppression,Figure 2,"Mathematical derivation shows that ascending sensory prediction errors are canceled by descending predictions, resulting in reduced neural activity for predictable inputs.",POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Kiebel et al. mathematically formulate and simulate how dynamic top-down predictions suppress prediction error activity for predictable inputs. Human consensus (0.7) captures this theoretical derivation, which council (0.2) under-scores.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Theoretical formulation of Bayesian predictive suppression.
PA-20,Kiebel2008,Global Oddball (GO),GO-F10,Precision Weighting (Gain),"Top-down amplification of error units, leading to disinhibited gain in response to attended or highly precise stimuli.",0.6,0.8,0.7,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Kiebel2008.pdf,Pages 5-7,Precision Weighting and Attention,Figure 3,Formulates precision weighting as an inverse variance gain term that multiplies prediction error units during attended or high-precision states.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Kiebel et al. explicitly formulate state precision and uncertainty weighting as a mathematical core of hierarchical predictive coding. Human consensus (0.7) properly values this theoretical framework, while council (0.2) under-scores it.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Mathematical derivation of precision-weighted prediction errors.
PA-21,Kiebel2008,Global Oddball (GO),GO-F26,Hierarchical Mechanism Invariance,"The ubiquitous nature of the predictive coding mechanism, functioning identically in the hierarchy from V1 to PFC.",1.0,0.8,0.9,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Kiebel2008.pdf,Pages 7-9,Hierarchical Formulation Invariance Across Timescales,Figure 4 / Box 1,"Derives mathematically that identical predictive coding equations repeat hierarchically, with higher levels operating over progressively slower temporal dynamics.",POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"The central mathematical contribution of Kiebel et al. is demonstrating structural mechanism invariance across hierarchical temporal scales. Human consensus (0.9) accurately reflects this theoretical proof, which council (0.2) heavily under-scores.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Mathematical proof of hierarchical scale invariance in predictive coding.
PA-22,Sacramento2018,Local Oddball (LO),LO-F01,Subtractive Inhibition (SST),Linear suppression of input via somatic inhibition (Somatostatin-mediated).,1.0,1.0,1.0,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Sacramento2018.pdf,Pages 3-5,Dendritic Error Computation with Somatostatin Interneurons,Figure 1 / Figure 2,"Biophysical compartmental model shows SST interneurons deliver subtractive inhibitory currents to apical dendrites, canceling predictable feedforward inputs.",POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Sacramento et al. propose and computationally validate that SST interneurons mediate subtractive dendritic inhibition to compute prediction errors. Human consensus (1.0) reflects this core computational model finding, whereas council (0.2) under-scores it.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Biophysical dendritic model demonstrating SST subtractive cancellation.
PA-23,Sacramento2018,Global Oddball (GO),GO-F01,Subtractive Inhibition (SST),Linear suppression of input via somatic inhibition (Somatostatin-mediated).,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Sacramento2018.pdf,Pages 5-7,Multi-Step Sequence Learning and Global Expectations,Figure 4,Simulations demonstrate that dendritic subtractive inhibition mediated by SST cells enables multi-step sequence prediction and temporal pattern learning.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Sacramento et al. extend their SST-mediated dendritic error model to multi-layer sequence learning tasks. Both human (1.0) and council (0.6) scores plausibly capture positive support for this modeled mechanism.,evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Extends dendritic predictive model to temporal sequences.
PA-24,Spratling2008,Local Oddball (LO),LO-F13,Feedforward Deviance Detection,Detection of mismatch signals that explicitly propagate in the feedforward (ascending) direction to higher cortical areas.,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Spratling2008.pdf,Pages 8-10,Feedforward Deviance Signals in Biased Competition,Figure 3,Neural network simulations show that mismatch between top-down predictions and bottom-up input generates feedforward ascending error signals in local oddballs.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Spratling neural network simulations demonstrate that mismatch between top-down predictions and sensory inputs generates ascending feedforward deviance signals. Both 1.0 and 0.6 are plausible ratings for this computational demonstration.,evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Computational biased competition model producing ascending deviance signals.
PA-25,Spratling2008,Local Oddball (LO),LO-F26,Hierarchical Mechanism Invariance,"The ubiquitous nature of the predictive coding mechanism, functioning identically in the hierarchy from V1 to PFC.",0.6,0.8,0.7,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Spratling2008.pdf,Pages 11-13,Hierarchical Scaling of Biased Competition Microcircuits,Figure 5,Demonstrates that the same biased competition / predictive coding microcircuit architecture can be stacked hierarchically from low to high sensory areas without modification.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"The paper demonstrates that identical PC/BC microcircuit equations can be stacked hierarchically across cortical processing stages. Human consensus (0.7) properly captures this structural invariance, which council (0.2) under-scores.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Demonstrates structural invariance across hierarchical levels.
PA-26,Spratling2008,Global Oddball (GO),GO-F13,Feedforward Deviance Detection,Detection of mismatch signals that explicitly propagate in the feedforward (ascending) direction to higher cortical areas.,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Spratling2008.pdf,Pages 9-11,Global Sequence Processing in Hierarchical Networks,Figure 4,Simulations show higher-order network layers process global sequence prediction errors propagating from lower stages.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Spratling model shows ascending error signals driving higher hierarchical stages during pattern and sequence processing. Both strong (1.0) and moderate (0.6) scores are plausible representations of this model behavior.,evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,INDIRECT,Model demonstrates ascending error propagation during sequence processing.
PA-27,Spratling2010,Local Oddball (LO),LO-F06,Activity Suppression,Reduction in firing rates for expected (predictable) stimuli.,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Spratling2010.pdf,Pages 3-5,Predictive Coding vs Biased Competition: Activity Suppression,Figure 1 / Figure 2,Simulations establish that predictive suppression of predictable inputs via feedback inhibition is a defining signature distinguishing predictive coding from standard feedback.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Spratling demonstrates that predictive coding quantitatively replicates empirical cortical activity suppression across multiple visual stimulation paradigms. Both human (1.0) and council (0.6) scores appropriately reflect positive support.,evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Computational comparison confirming activity suppression under predictive coding.
