paper_id,context,factor,human_score,council_score,absolute_difference,audit_priority,source_markdown,source_location,source_evidence_summary,supports_human_direction,supports_council_direction,ambiguous_or_insufficient,adjudicator_id,adjudication_note
Garret2020,LO,LO-F17,-0.6,0.6,1.2,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Greedy2022,GO,GO-F13,-0.6,0.6,1.2,High (|diff| >= 0.50),Greedy2022-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F23,-0.6,0.567,1.167,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,GO,GO-F24,1.0,-0.15,1.15,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F23,-0.6,0.533,1.133,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F17,-0.6,0.5,1.1,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F05,-0.6,0.5,1.1,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Sacramento2018,LO,LO-F23,-0.6,0.5,1.1,High (|diff| >= 0.50),Sacramento2018-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,LO,LO-F04,0.2,-0.9,1.1,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Hertag2020,GO,GO-F02,-0.2,0.867,1.067,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Hertag2020,LO,LO-F02,-0.2,0.833,1.033,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F23,-0.2,0.825,1.025,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F24,0.0,1.0,1.0,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F17,-0.6,0.4,1.0,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,GO,GO-F17,-0.6,0.367,0.967,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F01,0.0,0.943,0.943,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Bekinschtein2009,GO,GO-F13,0.6,-0.333,0.933,High (|diff| >= 0.50),Bekinschtein2009-vllm-deepread_compressed.md,,,,,,,
Bastos2012,LO,LO-F04,-0.2,0.7,0.9,High (|diff| >= 0.50),Bastos2012-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F06,0.0,0.9,0.9,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Bekinschtein2009,LO,LO-F26,-0.6,0.3,0.9,High (|diff| >= 0.50),Bekinschtein2009-vllm-deepread_compressed.md,,,,,,,
Bekinschtein2009,GO,GO-F26,-0.6,0.3,0.9,High (|diff| >= 0.50),Bekinschtein2009-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F23,0.0,0.9,0.9,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Keller2018,LO,LO-F05,-0.2,0.683,0.883,High (|diff| >= 0.50),Keller2018-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F17,0.0,0.875,0.875,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F13,0.6,-0.267,0.867,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F11,0.0,0.867,0.867,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Sacramento2018,GO,GO-F17,-1.0,-0.15,0.85,High (|diff| >= 0.50),Sacramento2018-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,LO,LO-F06,1.0,0.15,0.85,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F18,0.6,-0.24,0.84,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Spratling2010,LO,LO-F23,0.0,0.84,0.84,High (|diff| >= 0.50),Spratling2010-vllm-deepread_compressed.md,,,,,,,
Nejad2025,GO,GO-F17,-1.0,-0.167,0.833,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Garret2020,GO,GO-F10,0.6,-0.233,0.833,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Garret2020,GO,GO-F11,0.6,-0.225,0.825,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F23,0.6,-0.225,0.825,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F03,0.0,0.825,0.825,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F06,1.0,0.175,0.825,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F11,0.6,-0.217,0.817,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F26,0.2,1.0,0.8,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,LO,LO-F36,-0.2,0.6,0.8,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,GO,GO-F36,-0.2,0.6,0.8,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F33,0.0,0.8,0.8,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F10,0.6,-0.2,0.8,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F12,0.6,-0.2,0.8,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F19,0.6,-0.2,0.8,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Keller2012,LO,LO-F29,0.2,1.0,0.8,High (|diff| >= 0.50),Keller2012-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F13,0.0,0.8,0.8,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F25,0.6,-0.2,0.8,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,LO,LO-F02,0.0,0.8,0.8,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F07,0.0,0.78,0.78,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Nejad2025,GO,GO-F24,0.6,-0.175,0.775,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,LO,LO-F02,0.0,0.771,0.771,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Hertag2020,GO,GO-F12,1.0,0.233,0.767,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,GO,GO-F06,1.0,0.25,0.75,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,GO,GO-F02,0.0,0.75,0.75,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Keller2018,GO,GO-F36,-0.6,0.15,0.75,High (|diff| >= 0.50),Keller2018-vllm-deepread_compressed.md,,,,,,,
Bastos2012,LO,LO-F05,-0.2,0.55,0.75,High (|diff| >= 0.50),Bastos2012-vllm-deepread_compressed.md,,,,,,,
Keller2018,LO,LO-F36,-0.6,0.15,0.75,High (|diff| >= 0.50),Keller2018-vllm-deepread_compressed.md,,,,,,,
Kiebel2008,GO,GO-F29,0.2,0.94,0.74,High (|diff| >= 0.50),Kiebel2008-vllm-deepread_compressed.md,,,,,,,
Nejad2025,GO,GO-F12,0.6,-0.133,0.733,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,GO,GO-F12,0.6,-0.133,0.733,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Spratling2010,GO,GO-F23,0.0,0.725,0.725,High (|diff| >= 0.50),Spratling2010-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F18,0.2,0.9,0.7,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Bakhtiari2021,GO,GO-F30,0.0,0.7,0.7,High (|diff| >= 0.50),Bakhtiari2021-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,GO,GO-F17,-0.2,0.5,0.7,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Sacramento2018,LO,LO-F13,-0.2,0.5,0.7,High (|diff| >= 0.50),Sacramento2018-vllm-deepread_compressed.md,,,,,,,
Bekinschtein2009,LO,LO-F17,0.0,0.68,0.68,High (|diff| >= 0.50),Bekinschtein2009-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,LO,LO-F23,0.0,0.675,0.675,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Wacongne2011,LO,LO-F34,0.2,0.875,0.675,High (|diff| >= 0.50),Wacongne2011-vllm-deepread_compressed.md,,,,,,,
Garret2020,LO,LO-F23,0.0,0.667,0.667,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F27,0.0,0.667,0.667,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Spratling2010,LO,LO-F01,-0.2,0.467,0.667,High (|diff| >= 0.50),Spratling2010-vllm-deepread_compressed.md,,,,,,,
Kiebel2008,GO,GO-F22,0.2,0.867,0.667,High (|diff| >= 0.50),Kiebel2008-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,GO,GO-F13,1.0,0.34,0.66,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,LO,LO-F13,1.0,0.34,0.66,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Attinger2017,GO,GO-F34,0.0,0.65,0.65,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F21,0.0,0.65,0.65,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Wacongne2011,GO,GO-F34,0.2,0.85,0.65,High (|diff| >= 0.50),Wacongne2011-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F34,0.0,0.65,0.65,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,LO,LO-F17,0.2,0.85,0.65,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,LO,LO-F16,0.2,0.85,0.65,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F21,0.0,0.65,0.65,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Keller2012,GO,GO-F18,0.2,0.85,0.65,High (|diff| >= 0.50),Keller2012-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F32,0.0,0.633,0.633,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Kiebel2008,GO,GO-F32,0.2,0.833,0.633,High (|diff| >= 0.50),Kiebel2008-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F13,0.2,0.833,0.633,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,LO,LO-F20,0.2,0.833,0.633,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F13,0.2,0.833,0.633,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,GO,GO-F26,0.2,0.825,0.625,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F13,0.2,0.825,0.625,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F23,0.2,0.812,0.613,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,LO,LO-F26,0.2,0.8,0.6,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,LO,LO-F25,0.0,0.6,0.6,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Hertag2020,GO,GO-F34,0.0,0.6,0.6,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Hertag2020,LO,LO-F34,0.0,0.6,0.6,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Attinger2017,GO,GO-F26,0.2,0.8,0.6,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Wacongne2011,LO,LO-F17,0.2,0.8,0.6,High (|diff| >= 0.50),Wacongne2011-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F29,0.0,0.6,0.6,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,LO,LO-F34,0.0,0.6,0.6,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F13,0.0,0.6,0.6,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Wacongne2011,LO,LO-F23,0.2,0.8,0.6,High (|diff| >= 0.50),Wacongne2011-vllm-deepread_compressed.md,,,,,,,
Bekinschtein2009,LO,LO-F30,0.2,-0.4,0.6,High (|diff| >= 0.50),Bekinschtein2009-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F14,0.0,0.6,0.6,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,LO,LO-F07,0.2,0.8,0.6,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F15,0.0,0.6,0.6,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Nejad2025,GO,GO-F29,0.0,0.6,0.6,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Spratling2008,LO,LO-F34,0.2,0.8,0.6,High (|diff| >= 0.50),Spratling2008-vllm-deepread_compressed.md,,,,,,,
Spratling2008,GO,GO-F01,0.6,0.0,0.6,High (|diff| >= 0.50),Spratling2008-vllm-deepread_compressed.md,,,,,,,
Rao2024,LO,LO-F10,0.2,0.8,0.6,High (|diff| >= 0.50),Rao2024-vllm-deepread_compressed.md,,,,,,,
Kiebel2008,LO,LO-F29,0.2,0.8,0.6,High (|diff| >= 0.50),Kiebel2008-vllm-deepread_compressed.md,,,,,,,
Bakhtiari2021,LO,LO-F30,0.0,0.6,0.6,High (|diff| >= 0.50),Bakhtiari2021-vllm-deepread_compressed.md,,,,,,,
Spratling2008,GO,GO-F34,0.2,0.8,0.6,High (|diff| >= 0.50),Spratling2008-vllm-deepread_compressed.md,,,,,,,
Garret2020,LO,LO-F05,0.0,0.6,0.6,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F15,0.0,0.6,0.6,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,GO,GO-F12,1.0,0.4,0.6,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F35,0.0,0.6,0.6,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Nejad2025,GO,GO-F35,0.0,0.6,0.6,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F05,-0.2,0.4,0.6,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Friston2010,GO,GO-F20,0.2,0.8,0.6,High (|diff| >= 0.50),Friston2010-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F14,0.0,0.6,0.6,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F03,0.0,0.6,0.6,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Attinger2017,GO,GO-F23,0.2,0.787,0.587,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Spratling2010,LO,LO-F03,0.2,0.78,0.58,High (|diff| >= 0.50),Spratling2010-vllm-deepread_compressed.md,,,,,,,
Bastos2020,LO,LO-F30,1.0,0.425,0.575,High (|diff| >= 0.50),Bastos2020-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,LO,LO-F17,0.0,0.567,0.567,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,LO,LO-F17,0.0,0.567,0.567,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Rao2024,GO,GO-F10,0.2,0.767,0.567,High (|diff| >= 0.50),Rao2024-vllm-deepread_compressed.md,,,,,,,
Bastos2012,LO,LO-F20,0.2,0.767,0.567,High (|diff| >= 0.50),Bastos2012-vllm-deepread_compressed.md,,,,,,,
Friston2010,LO,LO-F20,0.2,0.76,0.56,High (|diff| >= 0.50),Friston2010-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,GO,GO-F27,0.2,0.76,0.56,High (|diff| >= 0.50),LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Garret2020,LO,LO-F07,0.0,0.55,0.55,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Srinivasan1982,GO,GO-F34,0.0,0.55,0.55,High (|diff| >= 0.50),Srinivasan1982-vllm-deepread_compressed.md,,,,,,,
Garret2020,GO,GO-F26,0.2,0.75,0.55,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Friston2010,LO,LO-F25,1.0,0.45,0.55,High (|diff| >= 0.50),Friston2010-vllm-deepread_compressed.md,,,,,,,
Bastos2012,GO,GO-F20,0.2,0.75,0.55,High (|diff| >= 0.50),Bastos2012-vllm-deepread_compressed.md,,,,,,,
Wacongne2011,LO,LO-F21,0.2,0.75,0.55,High (|diff| >= 0.50),Wacongne2011-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F03,0.0,0.55,0.55,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Spratling2010,GO,GO-F03,0.2,0.74,0.54,High (|diff| >= 0.50),Spratling2010-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,GO,GO-F06,0.6,0.06,0.54,High (|diff| >= 0.50),LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Friston2010,GO,GO-F25,1.0,0.467,0.533,High (|diff| >= 0.50),Friston2010-vllm-deepread_compressed.md,,,,,,,
Payeur2021,GO,GO-F06,0.2,0.733,0.533,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Attinger2017,GO,GO-F27,0.0,0.533,0.533,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Garret2020,LO,LO-F11,0.0,0.525,0.525,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F22,0.2,0.725,0.525,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Hertag2020,LO,LO-F12,1.0,0.475,0.525,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Spratling2008,LO,LO-F13,1.0,0.475,0.525,High (|diff| >= 0.50),Spratling2008-vllm-deepread_compressed.md,,,,,,,
Hertag2020,LO,LO-F23,0.2,0.725,0.525,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Garret2020,GO,GO-F07,1.0,0.475,0.525,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,GO,GO-F16,0.2,0.725,0.525,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Bastos2020,GO,GO-F30,1.0,0.475,0.525,High (|diff| >= 0.50),Bastos2020-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,GO,GO-F13,0.2,0.72,0.52,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F06,0.2,0.72,0.52,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Hertag2020,GO,GO-F17,0.2,0.72,0.52,High (|diff| >= 0.50),Hertag2020-vllm-deepread_compressed.md,,,,,,,
Bastos2020,LO,LO-F17,0.2,0.72,0.52,High (|diff| >= 0.50),Bastos2020-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,GO,GO-F18,0.2,0.717,0.517,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F02,0.0,0.5,0.5,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
LaoRodriguez2023,GO,GO-F26,0.2,0.7,0.5,Standard,LaoRodriguez2023-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F25,0.2,0.7,0.5,Standard,Attinger2017-vllm-deepread_compressed.md,,,,,,,
LeeMejias2025,LO,LO-F26,0.2,0.7,0.5,Standard,LeeMejias2025-vllm-deepread_compressed.md,,,,,,,
Friston2010,GO,GO-F07,0.2,0.7,0.5,Standard,Friston2010-vllm-deepread_compressed.md,,,,,,,
Attinger2017,GO,GO-F13,0.2,0.7,0.5,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,GO,GO-F32,0.2,0.7,0.5,Standard,Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Attinger2017,LO,LO-F30,0.0,0.5,0.5,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Friston2010,GO,GO-F29,0.2,0.7,0.5,High (|diff| >= 0.50),Friston2010-vllm-deepread_compressed.md,,,,,,,
Nejad2025,GO,GO-F30,0.0,0.5,0.5,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F06,0.2,0.7,0.5,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,LO,LO-F21,0.2,0.7,0.5,Standard,VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Kiebel2008,LO,LO-F01,0.2,0.7,0.5,Standard,Kiebel2008-vllm-deepread_compressed.md,,,,,,,
Bastos2020,GO,GO-F35,0.2,0.7,0.5,Standard,Bastos2020-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,LO,LO-F29,0.2,0.7,0.5,Standard,Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Bastos2020,LO,LO-F35,0.2,0.7,0.5,Standard,Bastos2020-vllm-deepread_compressed.md,,,,,,,
VanDerveer2021,GO,GO-F25,0.2,0.7,0.5,High (|diff| >= 0.50),VanDerveer2021-vllm-deepread_compressed.md,,,,,,,
Keller2012,GO,GO-F13,0.2,0.7,0.5,High (|diff| >= 0.50),Keller2012-vllm-deepread_compressed.md,,,,,,,
Kiebel2008,LO,LO-F32,0.2,0.7,0.5,Standard,Kiebel2008-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F27,0.0,0.5,0.5,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Sacramento2018,GO,GO-F25,0.6,0.1,0.5,High (|diff| >= 0.50),Sacramento2018-vllm-deepread_compressed.md,,,,,,,
Bastos2012,GO,GO-F11,0.2,0.7,0.5,High (|diff| >= 0.50),Bastos2012-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,GO,GO-F16,0.2,-0.3,0.5,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Payeur2021,LO,LO-F13,0.0,0.5,0.5,High (|diff| >= 0.50),Payeur2021-vllm-deepread_compressed.md,,,,,,,
Garret2020,LO,LO-F35,-0.2,0.3,0.5,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Garret2020,LO,LO-F26,0.2,0.7,0.5,Standard,Garret2020-vllm-deepread_compressed.md,,,,,,,
Attinger2017,GO,GO-F30,0.0,0.5,0.5,High (|diff| >= 0.50),Attinger2017-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,LO,LO-F24,0.2,0.7,0.5,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
